group	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	Samples
Paracancer	445.592815655959	1671.02157532205	2116.614390978	0.609250190124943	bulk_P_34
Paracancer	199.439327763949	1203.7056495859	1403.14497734985	0.688808158457621	bulk_P_35
Paracancer	144.008840036371	1336.77237737605	1480.78121741243	0.680502079495423	bulk_P_36
Paracancer	568.51565017167	2062.11873858117	2630.63438875284	0.547741609552004	bulk_P_37
Paracancer	130.655612739485	1489.40136444248	1620.05697718196	0.6653806060904	bulk_P_38
Paracancer	677.686908507602	2183.77884059747	2861.46574910507	0.519084202112327	bulk_P_39
Paracancer	105.875982762758	1476.55805739421	1582.43404015697	0.669493090941446	bulk_P_40
Paracancer	528.546673182941	1861.1326654889	2389.67933867185	0.57698459205894	bulk_P_41
Paracancer	184.525132057693	1343.67774497206	1528.20287702975	0.675385024977386	bulk_P_42
Paracancer	120.311988379846	1438.44974967064	1558.76173805049	0.67207020324053	bulk_P_43
Paracancer	-226.626628306016	699.447321049987	472.820692743971	0.781086872525222	bulk_P_44
Paracancer	58.1166967084365	1398.18330099801	1456.29999770645	0.683130846516823	bulk_P_45
Paracancer	52.6604253754043	1313.01324179895	1365.67366717435	0.692785165373478	bulk_P_46
Paracancer	22.2806086196542	1016.37593878898	1038.65654740864	0.726590446873416	bulk_P_47
Paracancer	319.967300914629	1363.11232133825	1683.07962225288	0.658446326768899	bulk_P_48
Paracancer	237.144881085714	1409.99989536094	1647.14477644666	0.662407122630795	bulk_P_49
Paracancer	133.321701351609	1511.81771860808	1645.13941995969	0.662627614270754	bulk_P_50
Paracancer	178.665871888525	1217.83247722311	1396.49834911164	0.68951512029545	bulk_P_51
Paracancer	716.90073145858	2389.10428759321	3106.00501905179	0.488075671700315	bulk_P_52
Paracancer	76.8366816209515	1453.86477650904	1530.70145813	0.675114504778154	bulk_P_53
Paracancer	481.984920222405	1491.30371016268	1973.28863038508	0.625797246745376	bulk_P_54
Paracancer	299.724145330381	1787.13997254854	2086.86411787892	0.612707300949821	bulk_P_55
Cancer	-496.162077115913	825.137394410124	328.975317294211	0.794096354721657	bulk_C_1
Cancer	-168.395846581492	1059.38239335681	890.986546775322	0.74131170389427	bulk_C_2
Cancer	-328.580638285871	890.139884709769	561.559246423899	0.772887244614581	bulk_C_3
Cancer	-981.063163673784	788.295609804164	-192.76755386962	0.838271390617607	bulk_C_4
Cancer	-541.620536596655	727.272602464943	185.652065868288	0.806706523961624	bulk_C_5
Cancer	368.386012116696	2079.95466626488	2448.34067838158	0.569930370917304	bulk_C_6
Cancer	-267.928835804104	1051.5784950111	783.649659206999	0.751793938276194	bulk_C_7
Cancer	-543.726223236845	575.869631712422	32.143408475577	0.819816702473622	bulk_C_8
Cancer	52.6786317590945	1174.10346557406	1226.78209733315	0.707342618789879	bulk_C_9
Cancer	247.242370094581	1312.31124338869	1559.55361348327	0.671984125827323	bulk_C_10
Cancer	532.680007159777	1521.70610138712	2054.38610854689	0.61646804343003	bulk_C_11
Cancer	-1232.80322629111	532.422855655234	-700.380370635871	0.876535576272729	bulk_C_12
Cancer	-484.644521356077	1462.13712140599	977.492600049912	0.732729710372672	bulk_C_13
Cancer	-324.541289291221	959.013285976054	634.471996684833	0.766051751410034	bulk_C_14
Cancer	-92.3221688356096	1477.0744071252	1384.75223828959	0.690762878117921	bulk_C_15
Cancer	-167.280972713343	1999.02592886733	1831.74495615398	0.641866753417768	bulk_C_16
Cancer	-183.426357274248	1117.39819698357	933.971839709325	0.737062122789281	bulk_C_17
Cancer	-1369.57367265412	-173.699576324513	-1543.27324897864	0.929237489255027	bulk_C_18
Cancer	-109.452988484739	1057.52003574815	948.067047263412	0.73566225549288	bulk_C_19
Cancer	59.0739495785764	451.442043766329	510.515993344905	0.7776198586641	bulk_C_20
Cancer	-1402.75969835013	-687.389866941942	-2090.14956529208	0.955873490367635	bulk_C_21
Cancer	-785.714174534241	57.4899605485863	-728.224213985655	0.878495548010192	bulk_C_22
