Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DD-AAD5-01A-11R-A41C-07	0.00550693947554952	0	0	0.0343008395357041	0	0.113667206147614	0	0	0.0372440663023641	0	0	0.0728790455468615	0.144924070580538	0.0280910157005099	0.0248113590285252	0.362671348251571	0	0.033771830058123	0.129868718139559	0	0.00373607789920918	0.00852748333387112	0	0.0789540366768112	1.0541066383011
TCGA-DD-AADL-01A-11R-A41C-07	0.077748720227193	0	0.0472611031086631	0.15743939767177	0	0.00848794657164509	0	0.015311977454269	0.0253235534248789	0	0	0.0807430396294893	0.00976473053957582	0.0394774681207061	0.141183418186533	0.197285234683454	0.0467856516127319	0	0.126182467322573	0	0	0.0270052914465176	0	0.0193038367278826	1.07864465705066
TCGA-G3-A7M7-01A-12R-A352-07	0.0435593866914779	0	0.0564592159134512	0.0476675223264282	0	0.181275552826127	0	0	0.158109782413791	0	0.0230765621870942	0.0508252742875922	0.00248870527693166	0.162239926416229	0.0482081856634946	0.152894565416226	0.0538780685061075	0	0.0193172520750506	0	0	0	0	0.000364925513186	1.08849406394216
TCGA-MR-A8JO-01A-12R-A36F-07	0.00335847687684444	0	0.0348234636857695	0.14044096845422	0	0.211940355553634	0	0.0233022449559967	0.172361059112307	0	0.000970490647973014	0.0325623361997972	0	0.130788186719343	0.093299911136376	0.124981902099706	0.00276175466553956	0	0.028408849892494	0	0	0	0	0.188305190238805	1.02458297686954
TCGA-DD-AAE1-01A-11R-A41C-07	0.0701040571288845	0	0.05452866943003	0.0421777235158641	0	0.218892557722693	0	0	0.179146656567078	0.0173905110906153	0	0.0487772357113282	0.000626308815589912	0.0116335467036378	0.0767752663299666	0.102148079284666	0.103270725774313	0	0.0745286619253337	0	0	0	0	-0.00707155259988181	1.09087213812405
TCGA-DD-A11C-01A-11R-A131-07	0.0238327614971338	0	0.00500273610486419	0.0447345107010336	0	0.270560266578051	0	0.0268761921229157	0.0559484547014306	0	0	0.118937329177303	0.0123997140375218	0.0115428161412224	0.0481637395544251	0.193840097385398	0.0303061334760997	0	0.157855248522602	0	0	0	0	0.00275367953289619	1.09082684569786
TCGA-RG-A7D4-01A-12R-A33R-07	0.0114059057693241	0.00879455860426427	0.199563895335393	0.239838980837508	0	0	0.0125751240963515	0.115827370394878	0.120087911706652	0.0258553133513254	0	0.0426690325731053	0.00890716801792847	0.105792948304705	0.0362227267067228	0.0455934175261388	0.0173298440051791	0	0.00953580277052508	0	0	0	0	0.305932876227982	0.970576174679528
TCGA-BC-A10Q-01A-11R-A131-07	0.0331883815321635	0	0.0249155450497626	0.129676905028922	0	0.127655617572439	0	0.0186057372333153	0.0977544658612386	0	0	0.0751161694886018	0.108905818587644	0.0495486237900907	0.049744171683057	0.252336467917743	0.0199650199716328	0	0.00930034175570387	0	0.00161625210357418	0.0016704824241118	0	0.0221406741064254	1.07897188620231
TCGA-WX-AA46-01A-11R-A39D-07	0.0669630023523184	0	0.0143901709887524	0.0394252022908982	0	0.102667756954121	0	0.0151822643870852	0.0383854666185187	0.0197519635155305	0	0.0821284409733805	0.0996058612517165	0.0902610365279028	0.107231567449313	0.276189457063593	0	0	0	0.0268474460270114	0	0.0209703635998586	0	0.0236920644758017	1.08265026253457
TCGA-MI-A75E-01A-11R-A32O-07	0.0707480764824884	0	0.125787476310778	0.114055667832348	0	0.198724813484912	0	0.0129701022208003	0.102386792610528	0	0	0.0389125482128869	0.017119405858483	0.0501722968781774	0.0625356835263308	0.107441709348244	0.0558716686957708	0	0.0378798160882441	0	0	0.00539394245000901	0	0.184401400001323	1.0130796915359
TCGA-FV-A23B-01A-11R-A16W-07	0.022282729642999	0	0.00563956112332932	0.113516894659257	0	0.222856395599282	0.0101432031184464	0.0491894812960632	0.132240596360702	0	0.0208320358413497	0.0158435614709578	0.0221447568120391	0.00244942906249396	0.0831303430452548	0.134042387086675	0.140355689489963	0	0.025332935391187	0	0	0	0	0.0265582183068	1.0864797540331
